German,English
Teil,part
Geschichte,history
suchen,search
nur,only
Polizei,police
dachte,thought
Hilfe,help
Anfrage,request
Art,kind
Monat,month
Bruder,brother
lassen,let
weil,because
setzen,to put
kein,no
Leine,leash
sie,them
Stadt,city
jeder,each
sprach,speak
kam,come
sollte,should
Baby,baby
lange,long time
Stunden,hours
werden,will
während,while
wiedersehen,meet again
keine,any
Platz,square
sprechen,speak
verstanden,understood
wusste,knew
waren,were
Achtung,Warning
hier ist,here is
könnte,could
Fall,case
geben,give
Typ,type
ihre,their
gegeben,given
Zug,train
Körper,body
Ort,place
Augen,eyes
Weg,way
hör zu,listen
dessen,whose
finden,find
erste,first
verloren,lost
Hand,hand
erste,first
Seite,side
Macht,power
alt,old
sei,be
so sehr,so much
Kind,child
Punkt,point
kam,came
danach,after
Entschuldigung,sorry
kommt,come
vor,in front of
zu,towards
Minuten,minutes
angefragt,request
Schlafzimmer,bedroom
gelegt,placed
schön,beautiful
Recht,law
möchte,would like to
heute,today
Ursache,cause
endlich,finally
hofft,hope
Wasser,water
wartet,Wait
gegangen,left
neu,new
Job,job
stoppen,Stop
würde sagen,would say
Erde,Earth
Konto,account
gibt,given
weit,far
Ende,end
glauben,believe
Liebling,sweetheart
groß,large
wird haben,will have
Mädchen,girls
spielen,to play
Büro,office
Abend,evening
Abfahrt,departure
Abholen,pick up
Abschluss,degree
Abteilung,department
Adresse,address
Aktion,action
Aktiv,active
Alltag,everyday life
Anbieten,offer
Anfangen,begin
Ankunft,arrival
Anmelden,register
Anruf,call
Ansehen,look at
Anwalt,lawyer
Anzeige,advertisement
Ärger,anger
Arm,poor
Artikel,article
Aufgabe,task
Aufhören,stop
Aufpassen,pay attention
Ausbildung,training
Ausflug,excursion
Ausgang,exit
Ausgehen,go out
Auskunft,information
Ausländer,foreigner
Ausmachen,turn off
Auswahl,choice
Bäckerei,bakery
Bald,soon
Beachten,pay attention to
Bedeuten,mean
Behalten,keep
Bekannt,known
Bekommen,receive
Benutzen,use
Beruf,profession
Bescheid,information
Besichtigen,visit
Besonders,especially
Besuchen,visit
Besser,better
Bestellen,order
Betrieb,company
Bewegen,move
Beweis,proof
Bezahlen,pay
Bibliothek,library
Bitte,please
Blau,blue
Böse,angry
Brauchen,need
Bringen,bring
Brücke,bridge
Bunt,colorful
Chance,chance
Charakter,character
Chef,in charge
Dach,roof
Danken,thank
Dauer,duration
Deutlich,clear
Diskussion,discussion
Dokument,document
Drinnen,inside
Draußen,outside
Drucken,print
Dunkel,dark
Eben,just
Egal,doesnt matter
Eigentlich,actually
Einfacher,easier
Einladen,invite
Eintritt,entry
Endlich,finally
Entscheiden,decide
Entschuldigen,apologize
Erfahrung,experience
Ergebnis,result
Erhalten,receive
Erinnern,remember
Erlauben,allow
Erleben,experience
Erreichen,reach
Erscheinen,appear
Erwarten,expect
Erzählen,tell
Fach,subject
Fahren,drive
Fallen,fall
Farbe,color
Fehlen,miss
Feier,celebration
Feiern,celebrate
Fehler,mistake
Fernsehen,television
Fertigstellen,complete
Fest,firm
Finden,find
Folgen,follow
Fordern,demand
Fortsetzen,continue
Fragen,ask
Fremd,foreign
Frieden,peace
Frisch,fresh
Friseur,hairdresser
Fühlen,feel
Führen,lead
Garage,garage
Garten,garden
Gebäude,building
Gedanke,thought
Gefühl,feeling
Gegenüber,opposite
Gehalt,salary
Gehören,belong
Gemeinsam,together
Genießen,enjoy
Genug,enough
Gerät,device
Gericht,court
Geschenk,present
Geschäft,business
Gesellschaft,society
Gespräch,conversation
Gewinnen,win
Gewöhnlich,usual
Gleich,same
Glücklich,happy
Gratulation,congratulations
Größe,size
Grün,green
Grundsätzlich,basically
Gruppe,group
Hälfte,half
Handeln,act
Häufig,often
Heiraten,marry
Heiß,hot
Herbst,autumn
Herstellen,produce
Holen,fetch
Hoffnung,hope
Höflich,polite
Hören,hear
Hunger,hunger
Ideal,ideal
Information,information
Interesse,interest
Irgendwann,sometime
Irgendwo,somewhere
Jacke,jacket
Jederzeit,anytime
Kalt,cold
Kamera,camera
Kaputt,broken
Kasse,cash desk
Kaufen,buy
Kenntnis,knowledge
Klar,clear
Klingeln,ring
Koffer,suitcase
Kollege,colleague
Komisch,strange
Können,can
Kopf,head
Kraft,strength
Krank,sick
Kreis,circle
Kreuzen,cross
Kultur,culture
Lächeln,smile
Lage,situation
Lauter,louder
Leben,live
Lebensmittel,groceries
Legen,lay
Leicht,light
Leihen,borrow
Lernen,learn
Lesen,read
Liefern,deliver
Lieblings-,favorite
Lösung,solution
Lust,desire
Machen,do
Malen,paint
Mangel,lack
Melden,report
Mensch,person
Merken,notice
Mieten,rent
Mindest-,minimum
Mitbringen,bring along
Mitglied,member
Mitnehmen,take along
Möglichkeit,possibility
Müde,tired
Müll,trash
Nachbar,neighbor
Nachdenken,think about
Nachricht,message
Nähe,proximity
Nehmen,take
Nennen,name
Nervös,nervous
Niedrig,low
Nötig,necessary
Öffnen,open
Ordnen,organize
Packen,pack
Parken,park
Passieren,happen
Persönlich,personal
Planen,plan
Plötzlich,suddenly
Praktisch,practical
Probieren,try
Produzieren,produce
Prüfen,check
Pünktlich,punctual
Qualität,quality
Raten,advise
Rauchen,smoke
Reich,rich
Reifen,tire
Reihenfolge,order
Reparieren,repair
Reservieren,reserve
Respekt,respect
Riechen,smell
Ruhig,calm
Sammeln,collect
Schaffen,manage
Schalten,switch
Schenken,give as gift
Schicken,send
Schließen,close
Schmecken,taste
Schneiden,cut
Schreiben,write
Schützen,protect
Schwimmen,swim
Sehen,see
Sitzen,sit
Sogar,even
Sollen,should
Sorgen,worry
Später,later
Spaß,fun
Speichern,save
Spiegel,mirror
Springen,jump
Stellen,place
Stimmen,be correct
Stören,disturb
Suchen,search
Teilen,share
Teilnehmen,participate
Telefonieren,phone
Test,test
Treffen,meet
Trinken,drink
Träumen,dream
Treppen,stairs
Übernachten,stay overnight
Überraschen,surprise
Überzeugen,convince
Üben,practice
Umziehen,move house
Unterschied,difference
Unterschreiben,sign
Unterstützen,support
Untersuchen,examine
Vergleichen,compare
Verkaufen,sell
Verlassen,leave
Verlieben,fall in love
Verlieren,lose
Vermeiden,avoid
Vermieten,rent out
Verpassen,miss
Verstehen,understand
Versuchen,try
Versprechen,promise
Verwenden,use
Vorbereiten,prepare
Vorstellen,introduce
Wachsen,grow
Wählen,choose
Warten,wait
Waschen,wash
Wechseln,change
Wecken,wake
Weil,because
Weiter,continue
Wenden,turn
Werfen,throw
Wiederholen,repeat
Wirklich,really
Wissen,know
Wohnen,live
Wünschen,wish
Zeigen,show
Ziehen,pull
Zufrieden,satisfied
Zukunft,future
Zurück,back
Zusagen,agree
Zusammenarbeit,cooperation
Zuschauen,watch
Zustimmen,agree
Zuverlässig,reliable
Zweck,purpose
